Work Type,Summary,Description,Epic Name,Work item ID,Parent,Sprint,Story Points,Components,Labels
Story,"ST-20 GitOps repo structure + App-of-Apps bootstrap","AC: Separate GitOps repo layout defined; root app syncs child apps; dev namespace deploys via ArgoCD.",,29,5,Sprint 4,8,gitops,"course,sprint-4"
Sub-task,"TASK ST-20.1 Define GitOps repo layout","Create scalable structure (apps/platform/apps/services/envs) documented for learners.",,30,29,Sprint 4,3,gitops,"course,sprint-4"
Sub-task,"TASK ST-20.2 Create root application (App-of-Apps)","Root Argo Application points to GitOps repo and syncs child apps.",,31,29,Sprint 4,3,gitops,"course,sprint-4"
Sub-task,"TASK ST-20.3 Add dev namespace + Argo project boundaries","Dev/prod namespaces + projects; dev auto-sync allowed; prod restricted.",,32,29,Sprint 4,2,gitops,"course,sprint-4"

Story,"ST-13 Terraform bootstrap for staging","AC: state bootstrap + apply reproducible.",,33,2,Sprint 5,8,terraform,"course,sprint-5"
Story,"ST-14 Single CD pipeline + correct smoke tests","AC: pick one pipeline; smoke tests hit correct URLs.",,34,8,Sprint 5,8,cicd,"course,sprint-5"
Story,"ST-15 Release tagging + promotion","AC: tag triggers prod deploy with approval; rollback documented.",,35,8,Sprint 5,5,cicd,"course,sprint-5"

Story,"ST-21 GitOps-driven staging deploy (CI updates tags)","AC: CI builds/pushes images then updates GitOps repo image tags for dev/staging; ArgoCD sync deploys automatically; traceability documented.",,36,5,Sprint 5,8,gitops,"course,sprint-5"
Sub-task,"TASK ST-21.1 CI updates GitOps dev tags","Workflow commits updated image tags to GitOps repo (dev).",,37,36,Sprint 5,3,gitops,"course,sprint-5"
Sub-task,"TASK ST-21.2 ArgoCD auto-sync for dev","Dev environment auto-sync policy enabled and validated.",,38,36,Sprint 5,2,gitops,"course,sprint-5"
Sub-task,"TASK ST-21.3 Smoke tests run after sync","Run smoke tests against the gateway after Argo sync completes.",,39,36,Sprint 5,3,cicd,"course,sprint-5"

Story,"ST-16 HTTPS/TLS on gateway","AC: HTTPS enabled; redirect HTTP→HTTPS.",,40,4,Sprint 6,5,k8s,"course,sprint-6"
Story,"ST-17 Monitoring that actually scrapes","AC: metrics endpoints/monitors aligned; dashboards show traffic.",,41,6,Sprint 6,8,ops,"course,sprint-6"
Story,"ST-18 Backup + restore drill","AC: run backup and restore rehearsal; verify data.",,42,6,Sprint 6,5,ops,"course,sprint-6"

Story,"ST-22 GitOps production promotion (gated)","AC: production promotion happens via release/tag or promotion PR; requires approval; ArgoCD sync deploys prod; rollback via revert documented.",,43,5,Sprint 6,8,gitops,"course,sprint-6"
Sub-task,"TASK ST-22.1 Promotion workflow (release/tag)","Create a release/tag-triggered workflow that updates GitOps prod tags (no auto-sync without gate).",,44,43,Sprint 6,3,gitops,"course,sprint-6"
Sub-task,"TASK ST-22.2 Prod ArgoCD sync policy","Prod is manual/controlled; document approval and sync steps.",,45,43,Sprint 6,2,gitops,"course,sprint-6"
Sub-task,"TASK ST-22.3 Rollback drill","Demonstrate rollback by reverting GitOps commit; verify service returns to previous version.",,46,43,Sprint 6,3,gitops,"course,sprint-6"
